SN,Trial,Cond,Item,RT
1,1,1,1,2045
1,2,1,2,2597
1,3,1,3,2869
1,4,1,4,2768
1,5,1,5,2524
1,6,1,6,2307
1,7,1,7,2165
1,8,2,1,2133
1,9,2,2,2851
1,10,2,3,2039
1,11,2,4,2508
1,12,2,5,2319
1,13,2,6,1812
1,14,2,7,1548
2,1,1,1,2313
2,2,1,2,2597
2,3,1,3,3018
2,4,1,4,2962
2,5,1,5,2942
2,6,1,6,2259
2,7,1,7,2810
2,8,2,1,2327
2,9,2,2,2463
2,10,2,3,2894
2,11,2,4,2432
2,12,2,5,2777
2,13,2,6,2080
2,14,2,7,2272
3,1,1,1,2373
3,2,1,2,2510
3,3,1,3,2660
3,4,1,4,3068
3,5,1,5,2525
3,6,1,6,2788
3,7,1,7,2644
3,8,2,1,2297
3,9,2,2,2368
3,10,2,3,2670
3,11,2,4,2754
3,12,2,5,2326
3,13,2,6,2265
3,14,2,7,1855
4,1,1,1,1236
4,2,1,2,1149
4,3,1,3,2136
4,4,1,4,1629
4,5,1,5,1269
4,6,1,6,1362
4,7,1,7,1460
4,8,2,1,1107
4,9,2,2,2290
4,10,2,3,1122
4,11,2,4,1934
4,12,2,5,1018
4,13,2,6,1158
4,14,2,7,1265
5,1,1,1,1888
5,2,1,2,1997
5,3,1,3,1861
5,4,1,4,1909
5,5,1,5,1565
5,6,1,6,1580
5,7,1,7,1611
5,8,2,1,1538
5,9,2,2,1424
5,10,2,3,1602
5,11,2,4,2075
5,12,2,5,1607
5,13,2,6,1467
5,14,2,7,1533
6,1,1,1,991
6,2,1,2,1043
6,3,1,3,1102
6,4,1,4,1200
6,5,1,5,1029
6,6,1,6,1082
6,7,1,7,1244
6,8,2,1,861
6,9,2,2,822
6,10,2,3,859
6,11,2,4,971
6,12,2,5,937
6,13,2,6,1088
6,14,2,7,1076
